method,puzzle_idx,correct,prediction,ground_truth,turns_used,n_history,mi_first,mi_last,mi_max,mi_min,mi_scores,raw_answer,total_time
fixed_turns,0,False,1,3,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,20.149959325790405
fixed_turns,1,True,0,0,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",A,22.69077181816101
fixed_turns,2,True,1,1,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,19.497437477111816
fixed_turns,3,False,3,4,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",D,21.04615545272827
fixed_turns,4,False,4,2,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",E,18.569404363632202
fixed_turns,5,False,4,3,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",E,22.626149654388428
fixed_turns,6,True,1,1,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,14.867608308792114
fixed_turns,7,True,4,4,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",E,16.25370764732361
fixed_turns,8,False,3,0,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",D,20.233423471450806
fixed_turns,9,False,0,1,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",A,20.513971090316772
fixed_turns,10,False,1,3,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,22.14626955986023
fixed_turns,11,True,2,2,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",C,19.041006565093994
fixed_turns,12,False,3,1,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",D,20.093947172164917
fixed_turns,13,False,3,1,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",D,19.347662210464478
fixed_turns,14,False,1,3,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,19.263564348220825
fixed_turns,15,False,2,4,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",C,22.979138135910034
fixed_turns,16,False,3,1,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",D,20.94308853149414
fixed_turns,17,True,0,0,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",A,20.465749502182007
fixed_turns,18,False,1,2,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,22.56541132926941
fixed_turns,19,False,1,3,10,9,1.0,10.0,10.0,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",B,18.87587261199951
mi_only,0,False,0,3,1,0,0.0,0.0,0.0,0.0,[0.0],,14.19940972328186
mi_only,1,True,0,0,6,5,0.45055181612700745,0.07566885626223305,0.8675440324946981,0.07566885626223305,"[0.45055181612700745, 0.46209295082563706, 0.5492899865297225, 0.8675440324946981, 0.31825000409663984, 0.07566885626223305]",,100.47868990898132
mi_only,2,True,1,1,1,0,0.0,0.0,0.0,0.0,[0.0],,612.1076672077179
mi_only,3,False,0,4,1,0,0.07566680632700842,0.07566680632700842,0.07566680632700842,0.07566680632700842,[0.07566680632700842],,21.100414991378784
mi_only,4,False,0,2,1,0,0.03355705022439583,0.03355705022439583,0.03355705022439583,0.03355705022439583,[0.03355705022439583],,18.41653800010681
mi_only,5,False,0,3,1,0,0.03355705022439583,0.03355705022439583,0.03355705022439583,0.03355705022439583,[0.03355705022439583],,15.919811010360718
mi_only,6,True,1,1,1,0,0.0,0.0,0.0,0.0,[0.0],,12.691220045089722
mi_only,7,False,2,4,1,0,0.0,0.0,0.0,0.0,[0.0],,18.17137575149536
mi_only,8,False,3,0,6,5,0.45055186407387204,0.0,0.6931394741853363,0.0,"[0.45055186407387204, 0.6931394741853363, 0.4505518161270074, 0.549291926102895, 0.450549641232193, 0.0]",,103.55894088745117
mi_only,9,False,0,1,1,0,0.0,0.0,0.0,0.0,[0.0],,15.239996910095215
mi_only,10,False,0,3,1,0,0.0,0.0,0.0,0.0,[0.0],,17.355348348617554
mi_only,11,False,0,2,1,0,0.0,0.0,0.0,0.0,[0.0],,15.039199352264404
mi_only,12,False,0,1,1,0,0.0,0.0,0.0,0.0,[0.0],,23.02884078025818
mi_only,13,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,15.731117725372314
mi_only,14,False,2,3,1,0,0.0,0.0,0.0,0.0,[0.0],,15.34968638420105
mi_only,15,False,0,4,1,0,0.0,0.0,0.0,0.0,[0.0],,20.8073308467865
mi_only,16,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,14.486984729766846
mi_only,17,True,0,0,1,0,0.07566885626223305,0.07566885626223305,0.07566885626223305,0.07566885626223305,[0.07566885626223305],,12.319637060165405
mi_only,18,False,0,2,1,0,0.0,0.0,0.0,0.0,[0.0],,16.853303909301758
mi_only,19,True,3,3,1,0,0.03355705022439583,0.03355705022439583,0.03355705022439583,0.03355705022439583,[0.03355705022439583],,14.761059761047363
robust_mi,0,False,0,3,1,0,0.21575795183072172,0.21575795183072172,0.21575795183072172,0.21575795183072172,[0.21575795183072172],,64.67084336280823
robust_mi,1,True,0,0,7,6,0.3080170071323403,0.21575473185906877,0.6931291810700384,0.21575473185906877,"[0.3080170071323403, 0.5488601814798237, 0.6931291810700384, 0.5623277368702706, 0.5623208784407601, 0.5488601814798237, 0.21575473185906877]",,339.43692111968994
robust_mi,2,False,0,1,1,0,0.0,0.0,0.0,0.0,[0.0],,50.19142007827759
robust_mi,3,False,0,4,1,0,0.07566241986216987,0.07566241986216987,0.07566241986216987,0.07566241986216987,[0.07566241986216987],,61.735233306884766
robust_mi,4,False,0,2,1,0,0.055472332859442475,0.055472332859442475,0.055472332859442475,0.055472332859442475,[0.055472332859442475],,93.47542810440063
robust_mi,5,False,0,3,1,0,0.2187974750562125,0.2187974750562125,0.2187974750562125,0.2187974750562125,[0.2187974750562125],,50.11953139305115
robust_mi,6,True,1,1,1,0,0.0,0.0,0.0,0.0,[0.0],,62.41633439064026
robust_mi,7,False,0,4,1,0,0.0,0.0,0.0,0.0,[0.0],,82.11740708351135
robust_mi,8,True,0,0,2,1,0.5623277368702706,0.21575473185906877,0.5623277368702706,0.21575473185906877,"[0.5623277368702706, 0.21575473185906877]",,99.30327343940735
robust_mi,9,False,0,1,1,0,0.0,0.0,0.0,0.0,[0.0],,46.27218818664551
robust_mi,10,False,0,3,1,0,0.0,0.0,0.0,0.0,[0.0],,48.09869933128357
robust_mi,11,False,0,2,1,0,0.0,0.0,0.0,0.0,[0.0],,69.61269283294678
robust_mi,12,False,3,1,2,1,0.5235790413830443,0.0,0.5235790413830443,0.0,"[0.5235790413830443, 0.0]",,105.40785193443298
robust_mi,13,False,0,1,1,0,0.09421805314229184,0.09421805314229184,0.09421805314229184,0.09421805314229184,[0.09421805314229184],,68.68136692047119
robust_mi,14,False,0,3,8,7,0.5623208784407601,0.0,1.0529001814342813,0.0,"[0.5623208784407601, 0.5859451447578801, 0.6931291810700384, 0.6931394262384557, 1.0396984609780995, 1.0529001814342813, 0.5623242716936999, 0.0]",,455.58033537864685
robust_mi,15,False,0,4,1,0,0.0,0.0,0.0,0.0,[0.0],,59.37864112854004
robust_mi,16,False,3,1,6,5,0.5623242716937,0.08494619054221551,1.0396984609780993,0.08494619054221551,"[0.5623242716937, 1.0396984609780993, 0.5623277368702706, 0.6931323650775181, 0.6931358956562216, 0.08494619054221551]",,291.39132261276245
robust_mi,17,True,0,0,1,0,0.0,0.0,0.0,0.0,[0.0],,60.163121461868286
robust_mi,18,False,0,2,21,20,0.34656635582159045,0.21575473185906877,1.3862499147585021,0.21575473185906877,"[0.34656635582159045, 1.0396984609780995, 0.5623208784407602, 1.0396984609780995, 0.6931323650775181, 0.6889912769052844, 0.6931358956562217, 0.5359490923112883, 0.6254837794322431, 0.5982585892151258, 0.5623208784407601, 1.0396914864757454, 1.3862499147585021, 0.5623277368702706, 0.5359491308488172, 1.0396914864757454, 0.5623242716936999, 1.0396914864757456, 0.5488635475445298, 0.6931291810700384, 0.21575473185906877]",,1007.5968978404999
robust_mi,19,True,3,3,1,0,0.0,0.0,0.0,0.0,[0.0],,63.36770033836365
self_consistency,0,False,0,3,1,0,0.0,0.0,0.0,0.0,[0.0],,601.402651309967
self_consistency,1,True,0,0,1,0,0.0,0.0,0.0,0.0,[0.0],,1.9742774963378906
self_consistency,2,False,0,1,1,0,0.25,0.25,0.25,0.25,[0.25],,1.9676530361175537
self_consistency,3,False,3,4,1,0,0.0,0.0,0.0,0.0,[0.0],,1.779050588607788
self_consistency,4,False,0,2,2,1,0.375,0.0,0.375,0.0,"[0.375, 0.0]",,5.119553804397583
self_consistency,5,True,3,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.2912864685058594
self_consistency,6,True,1,1,1,0,0.0,0.0,0.0,0.0,[0.0],,1.4339845180511475
self_consistency,7,False,2,4,1,0,0.0,0.0,0.0,0.0,[0.0],,1.4393222332000732
self_consistency,8,False,3,0,1,0,0.0,0.0,0.0,0.0,[0.0],,1.6304454803466797
self_consistency,9,False,0,1,2,1,0.375,0.0,0.375,0.0,"[0.375, 0.0]",,6.216329097747803
self_consistency,10,False,1,3,1,0,0.25,0.25,0.25,0.25,[0.25],,1.0905911922454834
self_consistency,11,True,2,2,1,0,0.0,0.0,0.0,0.0,[0.0],,1.6053674221038818
self_consistency,12,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,1.3335165977478027
self_consistency,13,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,1.2363932132720947
self_consistency,14,False,2,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.6249799728393555
self_consistency,15,True,4,4,1,0,0.0,0.0,0.0,0.0,[0.0],,1.3388071060180664
self_consistency,16,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,1.3145220279693604
self_consistency,17,False,2,0,1,0,0.25,0.25,0.25,0.25,[0.25],,1.467665195465088
self_consistency,18,True,2,2,1,0,0.0,0.0,0.0,0.0,[0.0],,1.0244507789611816
self_consistency,19,True,3,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.1982643604278564
semantic_entropy,0,False,0,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.7042946815490723
semantic_entropy,1,True,0,0,1,0,0.0,0.0,0.0,0.0,[0.0],,2.0891566276550293
semantic_entropy,2,False,2,1,4,3,0.6615632381579821,0.0,0.9002560512685369,0.0,"[0.6615632381579821, 0.9002560512685369, 0.5623351446188083, 0.0]",,12.291930913925171
semantic_entropy,3,False,3,4,1,0,0.0,0.0,0.0,0.0,[0.0],,2.139517068862915
semantic_entropy,4,False,0,2,2,1,0.6615632381579821,0.0,0.6615632381579821,0.0,"[0.6615632381579821, 0.0]",,5.661473989486694
semantic_entropy,5,True,3,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.282982587814331
semantic_entropy,6,False,0,1,2,1,0.5623351446188083,0.0,0.5623351446188083,0.0,"[0.5623351446188083, 0.0]",,5.38958215713501
semantic_entropy,7,False,2,4,1,0,0.0,0.0,0.0,0.0,[0.0],,1.4376821517944336
semantic_entropy,8,False,3,0,1,0,0.0,0.0,0.0,0.0,[0.0],,1.4646356105804443
semantic_entropy,9,False,0,1,2,1,0.6615632381579821,0.0,0.6615632381579821,0.0,"[0.6615632381579821, 0.0]",,4.911633253097534
semantic_entropy,10,False,1,3,1,0,0.37677016125643675,0.37677016125643675,0.37677016125643675,0.37677016125643675,[0.37677016125643675],,1.490828037261963
semantic_entropy,11,True,2,2,1,0,0.0,0.0,0.0,0.0,[0.0],,1.5304677486419678
semantic_entropy,12,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,1.4649136066436768
semantic_entropy,13,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,0.9361701011657715
semantic_entropy,14,False,2,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.3153901100158691
semantic_entropy,15,True,4,4,1,0,0.0,0.0,0.0,0.0,[0.0],,1.1814842224121094
semantic_entropy,16,False,3,1,1,0,0.0,0.0,0.0,0.0,[0.0],,1.3197638988494873
semantic_entropy,17,False,2,0,1,0,0.0,0.0,0.0,0.0,[0.0],,1.3660731315612793
semantic_entropy,18,True,2,2,1,0,0.0,0.0,0.0,0.0,[0.0],,1.6135518550872803
semantic_entropy,19,True,3,3,1,0,0.0,0.0,0.0,0.0,[0.0],,1.179067611694336
verbalized_confidence,0,False,0,3,2,1,3.0,2.0,3.0,2.0,"[3.0, 2.0]",,4.40031099319458
verbalized_confidence,1,False,1,0,3,2,3.0,2.0,3.0,2.0,"[3.0, 3.0, 2.0]",,8.193000078201294
verbalized_confidence,2,False,0,1,1,0,2.0,2.0,2.0,2.0,[2.0],,0.9005372524261475
verbalized_confidence,3,False,3,4,11,10,3.0,2.0,3.0,2.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0]",,32.89562940597534
verbalized_confidence,4,True,2,2,9,8,3.0,2.0,3.0,2.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0]",,29.348689317703247
verbalized_confidence,5,True,3,3,1,0,2.0,2.0,2.0,2.0,[2.0],,0.9387414455413818
verbalized_confidence,6,True,1,1,3,2,3.0,2.0,3.0,2.0,"[3.0, 3.0, 2.0]",,6.692298412322998
verbalized_confidence,7,False,2,4,1,0,2.0,2.0,2.0,2.0,[2.0],,0.6566390991210938
verbalized_confidence,8,False,3,0,2,1,3.0,2.0,3.0,2.0,"[3.0, 2.0]",,4.604444742202759
verbalized_confidence,9,False,2,1,4,3,3.0,2.0,3.0,2.0,"[3.0, 3.0, 3.0, 2.0]",,11.587868213653564
verbalized_confidence,10,False,1,3,1,0,2.0,2.0,2.0,2.0,[2.0],,0.2511718273162842
verbalized_confidence,11,True,2,2,1,0,2.0,2.0,2.0,2.0,[2.0],,0.29010701179504395
verbalized_confidence,12,False,3,1,4,3,3.0,2.0,3.0,2.0,"[3.0, 3.0, 3.0, 2.0]",,8.267988443374634
verbalized_confidence,13,False,3,1,1,0,2.0,2.0,2.0,2.0,[2.0],,0.30570507049560547
verbalized_confidence,14,False,2,3,1,0,2.0,2.0,2.0,2.0,[2.0],,0.2689516544342041
verbalized_confidence,15,True,4,4,1,0,2.0,2.0,2.0,2.0,[2.0],,0.9502453804016113
verbalized_confidence,16,False,3,1,1,0,2.0,2.0,2.0,2.0,[2.0],,1.0807130336761475
verbalized_confidence,17,False,2,0,3,2,3.0,2.0,3.0,2.0,"[3.0, 3.0, 2.0]",,4.683570861816406
verbalized_confidence,18,True,2,2,2,1,3.0,2.0,3.0,2.0,"[3.0, 2.0]",,3.7082200050354004
verbalized_confidence,19,False,4,3,6,5,3.0,2.0,3.0,2.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 2.0]",,13.878511905670166
